Sc(N/M); isFea(E); isOpt(E); sol(E); time(E); nbMach(E);  MemLim(E); TimeLim(E); isFea(H1); sol(H); time(H); nbMach(H)
Sc1-1; 0; 0; 9999999.00; 0.02; -1; 0; 0; 0;  218214.00; 0.00; 2
Sc1-2; 1; 1; 515201.00; 0.03; 2; 0; 0; 1;  614993.00; 0.00; 1
Sc1-3; 1; 1; 377075.00; 0.13; 2; 0; 0; 1;  386649.00; 0.00; 1
Sc1-4; 1; 1; 235565.00; 0.04; 2; 0; 0; 1;  258267.00; 0.00; 1
Sc1-5; 1; 1; 149514.00; 0.08; 2; 0; 0; 1;  159058.00; 0.00; 2
Sc1-6; 1; 1; 320438.00; 0.15; 2; 0; 0; 1;  371707.00; 0.00; 2
Sc1-7; 1; 1; 367405.00; 0.07; 2; 0; 0; 1;  395744.00; 0.00; 1
Sc1-8; 1; 1; 195980.00; 0.14; 2; 0; 0; 1;  287345.00; 0.00; 1
Sc1-9; 1; 1; 164420.00; 0.08; 2; 0; 0; 1;  274848.00; 0.00; 1
Sc1-10; 1; 1; 195094.00; 0.13; 2; 0; 0; 1;  208479.00; 0.00; 2
Sc1-11; 1; 1; 279463.00; 0.04; 2; 0; 0; 1;  279463.00; 0.00; 2
Sc1-12; 1; 1; 465172.00; 0.07; 1; 0; 0; 1;  548071.00; 0.00; 1
Sc1-13; 1; 1; 272844.00; 0.08; 2; 0; 0; 1;  275234.00; 0.00; 1
Sc1-14; 1; 1; 306268.00; 0.05; 2; 0; 0; 1;  306268.00; 0.00; 2
Sc1-15; 1; 1; 247693.00; 0.04; 2; 0; 0; 1;  272118.00; 0.00; 1
Sc1-16; 1; 1; 288443.00; 0.07; 1; 0; 0; 1;  288443.00; 0.00; 1
Sc1-17; 0; 0; 9999999.00; 0.02; -1; 0; 0; 0;  252615.00; 0.00; 2
Sc1-18; 1; 1; 445751.00; 0.07; 2; 0; 0; 1;  722691.00; 0.00; 1
Sc1-19; 1; 1; 252595.00; 0.06; 2; 0; 0; 1;  368503.00; 0.00; 1
Sc1-20; 1; 1; 202776.00; 0.08; 2; 0; 0; 1;  232667.00; 0.00; 2
Sc2-1; 0; 0; 9999999.00; 0.12; -1; 0; 0; 0;  279430.00; 0.00; 3
Sc2-2; 0; 0; 9999999.00; 0.12; -1; 0; 0; 0;  428047.00; 0.00; 2
Sc2-3; 0; 0; 9999999.00; 0.09; -1; 0; 0; 0;  406539.00; 0.00; 2
Sc2-4; 0; 0; 9999999.00; 0.08; -1; 0; 0; 0;  440206.00; 0.00; 2
Sc2-5; 0; 0; 9999999.00; 0.09; -1; 0; 0; 0;  375421.00; 0.00; 2
Sc2-6; 1; 1; 340442.00; 0.38; 2; 0; 0; 1;  346234.00; 0.00; 2
Sc2-7; 1; 1; 515906.00; 1.02; 2; 0; 0; 1;  559528.00; 0.00; 1
Sc2-8; 0; 0; 9999999.00; 0.09; -1; 0; 0; 0;  321289.00; 0.00; 1
Sc2-9; 1; 1; 218447.00; 0.69; 2; 0; 0; 1;  259091.00; 0.00; 2
Sc2-10; 0; 0; 9999999.00; 0.09; -1; 0; 0; 0;  601703.00; 0.00; 2
Sc2-11; 1; 1; 371170.00; 0.22; 2; 0; 0; 1;  542094.00; 0.00; 2
Sc2-12; 1; 1; 336176.00; 1.08; 2; 0; 0; 1;  364802.00; 0.00; 2
Sc2-13; 1; 1; 196254.00; 0.36; 3; 0; 0; 1;  265696.00; 0.00; 2
Sc2-14; 1; 1; 299215.00; 1.00; 2; 0; 0; 1;  373836.00; 0.00; 2
Sc2-15; 1; 1; 448360.00; 0.29; 2; 0; 0; 1;  469520.00; 0.00; 2
Sc2-16; 0; 0; 9999999.00; 0.09; -1; 0; 0; 0;  445386.00; 0.00; 2
Sc2-17; 1; 1; 765950.00; 0.23; 2; 0; 0; 1;  843005.00; 0.00; 2
Sc2-18; 1; 1; 480257.00; 0.18; 2; 0; 0; 1;  480968.00; 0.00; 2
Sc2-19; 1; 1; 211334.00; 0.40; 2; 0; 0; 1;  269790.00; 0.00; 2
Sc2-20; 0; 0; 9999999.00; 0.09; -1; 0; 0; 0;  454712.00; 0.00; 2
Sc3-1; 1; 1; 697406.00; 2.67; 3; 0; 0; 0;  787136.00; 0.00; 4
Sc3-2; 1; 1; 1046434.00; 2.33; 3; 0; 0; 0;  1165785.00; 0.00; 3
Sc3-3; 0; 0; 9999999.00; 0.64; -1; 0; 0; 0;  797951.00; 0.00; 3
Sc3-4; 1; 1; 681550.00; 2.64; 3; 0; 0; 1;  806137.00; 0.00; 2
Sc3-5; 1; 1; 642969.00; 1.28; 3; 0; 0; 1;  824045.00; 0.00; 1
Sc3-6; 1; 1; 649678.00; 2.04; 3; 0; 0; 1;  806813.00; 0.00; 2
Sc3-7; 1; 1; 685571.00; 1.14; 4; 0; 0; 1;  798349.00; 0.00; 2
Sc3-8; 1; 1; 691744.00; 2.49; 3; 0; 0; 0;  862747.00; 0.00; 3
Sc3-9; 1; 1; 478191.00; 1.34; 3; 0; 0; 1;  627669.00; 0.00; 3
Sc3-10; 1; 1; 578628.00; 0.59; 3; 0; 0; 1;  706837.00; 0.00; 2
Sc3-11; 1; 1; 620056.00; 1.08; 3; 0; 0; 1;  768273.00; 0.00; 3
Sc3-12; 1; 1; 854311.00; 2.22; 3; 0; 0; 1;  899288.00; 0.00; 3
Sc3-13; 1; 1; 534848.00; 2.32; 3; 0; 0; 0;  774264.00; 0.00; 2
Sc3-14; 1; 1; 768176.00; 2.42; 3; 0; 0; 0;  837239.00; 0.00; 3
Sc3-15; 1; 1; 656774.00; 1.07; 4; 0; 0; 1;  815778.00; 0.00; 3
Sc3-16; 1; 1; 426840.00; 0.94; 3; 0; 0; 1;  560883.00; 0.00; 2
Sc3-17; 1; 1; 614073.00; 54.57; 4; 0; 0; 1;  971789.00; 0.00; 3
Sc3-18; 1; 1; 889584.00; 2.69; 3; 0; 0; 1;  993781.00; 0.00; 3
Sc3-19; 1; 1; 779883.00; 1.30; 3; 0; 0; 0;  866737.00; 0.00; 3
Sc3-20; 1; 1; 586218.00; 0.72; 3; 0; 0; 1;  654793.00; 0.00; 3
Sc4-1; 1; 1; 784819.00; 240.72; 5; 0; 0; 0;  876937.00; 0.00; 4
Sc4-2; 1; 1; 861493.00; 1600.40; 5; 0; 0; 0;  927543.00; 0.00; 4
Sc4-3; 1; 1; 977031.00; 230.78; 4; 0; 0; 1;  1189756.00; 0.00; 4
Sc4-4; 1; 1; 818180.00; 13.03; 4; 0; 0; 1;  965276.00; 0.00; 3
Sc4-5; 1; 1; 619845.00; 11.03; 4; 0; 0; 0;  827908.00; 0.00; 4
Sc4-6; 1; 0; 655111.00; 1800.37; 4; 0; 1; 0;  782265.00; 0.00; 4
Sc4-7; 1; 1; 685280.00; 7.63; 4; 0; 0; 1;  933111.00; 0.00; 3
Sc4-8; 1; 1; 687150.00; 4.44; 4; 0; 0; 1;  876408.00; 0.00; 3
Sc4-9; 1; 1; 524059.00; 1.88; 3; 0; 0; 1;  696624.00; 0.00; 3
Sc4-10; 1; 1; 591784.00; 139.98; 4; 0; 0; 0;  647450.00; 0.00; 4
Sc4-11; 1; 1; 771357.00; 21.38; 4; 0; 0; 0;  1036030.00; 0.00; 4
Sc4-12; 1; 1; 884930.00; 34.76; 4; 0; 0; 1;  1104422.00; 0.00; 3
Sc4-13; 1; 1; 1062748.00; 152.74; 4; 0; 0; 0;  1265931.00; 0.00; 3
Sc4-14; 1; 1; 772524.00; 13.39; 4; 0; 0; 0;  891615.00; 0.00; 4
Sc4-15; 1; 1; 562608.00; 9.78; 4; 0; 0; 1;  768570.00; 0.00; 4
Sc4-16; 1; 1; 824827.00; 57.34; 4; 0; 0; 0;  957687.00; 0.00; 3
Sc4-17; 1; 1; 1001072.00; 382.01; 4; 0; 0; 0;  1069715.00; 0.00; 4
Sc4-18; 1; 1; 717281.00; 24.33; 4; 0; 0; 1;  952168.00; 0.00; 3
Sc4-19; 1; 1; 1262228.00; 25.65; 3; 0; 0; 0;  1262299.00; 0.00; 3
Sc4-20; 1; 1; 784094.00; 18.93; 4; 0; 0; 1;  863041.00; 0.00; 4
Sc5-1; 1; 0; 1131237.00; 1800.38; 4; 0; 1; 0;  802434.00; 0.01; 4
Sc5-2; 1; 0; 982814.00; 1800.40; 4; 0; 1; 0;  1039496.00; 0.01; 4
Sc5-3; 1; 0; 667285.00; 1800.74; 4; 0; 1; 0;  948007.00; 0.01; 4
Sc5-4; 1; 1; 935120.00; 316.36; 5; 0; 0; 1;  1255938.00; 0.00; 3
Sc5-5; 1; 1; 889899.00; 78.19; 4; 0; 0; 1;  1221005.00; 0.00; 3
Sc5-6; 1; 0; 886860.00; 1800.39; 4; 0; 1; 0;  1068960.00; 0.01; 4
Sc5-7; 1; 0; 757838.00; 1800.38; 4; 0; 1; 0;  881231.00; 0.00; 4
Sc5-8; 1; 1; 1114549.00; 1415.20; 4; 0; 0; 1;  1450155.00; 0.00; 4
Sc5-9; 1; 0; 1304261.00; 1800.61; 4; 0; 1; 1;  1859707.00; 0.01; 3
Sc5-10; 1; 0; 774366.00; 1800.37; 5; 0; 1; 0;  955466.00; 0.01; 4
Sc5-11; 1; 0; 1346835.00; 1575.54; 4; 1; 0; 0;  1232562.00; 0.01; 3
Sc5-12; 1; 0; 916323.00; 1800.45; 4; 0; 1; 0;  1089867.00; 0.00; 4
Sc5-13; 1; 1; 969380.00; 255.60; 4; 0; 0; 0;  978609.00; 0.01; 3
Sc5-14; 1; 0; 1187449.00; 1800.39; 4; 0; 1; 0;  1193644.00; 0.01; 4
Sc5-15; 0; 0; 9999999.00; 2.12; -1; 0; 0; 0;  773376.00; 0.01; 4
Sc5-16; 1; 1; 911205.00; 871.46; 4; 0; 0; 0;  1142955.00; 0.00; 3
Sc5-17; 1; 0; 976100.00; 1800.46; 5; 0; 1; 0;  1211147.00; 0.01; 4
Sc5-18; 1; 1; 914947.00; 1408.81; 4; 0; 0; 0;  919688.00; 0.01; 3
Sc5-19; 0; 0; 9999999.00; 1.68; -1; 0; 0; 0;  1196759.00; 0.00; 3
Sc5-20; 0; 0; 9999999.00; 1.92; -1; 0; 0; 0;  1399107.00; 0.00; 4
Sc6-1; 0; 0; 9999999.00; 2.06; -1; 0; 0; 0;  872008.00; 0.01; 4
Sc6-2; 1; 0; 1204507.00; 1820.14; 5; 0; 1; 0;  1352872.00; 0.00; 4
Sc6-3; 1; 0; 1439258.00; 1800.80; 4; 0; 1; 0;  1583373.00; 0.01; 4
Sc6-4; 0; 0; 9999999.00; 18.25; -1; 0; 0; 0;  1664590.00; 0.01; 5
Sc6-5; 1; 0; 1141694.00; 1800.81; 5; 0; 1; 0;  1328838.00; 0.01; 4
Sc6-6; 1; 1; 1305215.00; 416.18; 5; 0; 0; 0;  1139225.00; 0.01; 4
Sc6-7; 1; 0; 1018179.00; 1800.74; 5; 0; 1; 0;  1456207.00; 0.01; 4
Sc6-8; 1; 0; 1241208.00; 1800.83; 5; 0; 1; 0;  1460089.00; 0.01; 4
Sc6-9; 1; 0; 1794495.00; 1800.88; 4; 0; 1; 0;  1597321.00; 0.01; 4
Sc6-10; 1; 0; 1275516.00; 1800.82; 5; 0; 1; 0;  1419056.00; 0.01; 4
Sc6-11; 1; 1; 1442880.00; 1126.36; 6; 0; 0; 0;  1358627.00; 0.01; 4
Sc6-12; 1; 1; 1201386.00; 605.16; 5; 0; 0; 0;  1159446.00; 0.01; 4
Sc6-13; 1; 0; 1712712.00; 1800.75; 5; 0; 1; 0;  1826663.00; 0.01; 5
Sc6-14; 1; 0; 1090963.00; 1800.74; 5; 0; 1; 0;  1439724.00; 0.01; 4
Sc6-15; 1; 0; 1329373.00; 1800.88; 4; 0; 1; 0;  1280060.00; 0.01; 3
Sc6-16; 1; 0; 1520641.00; 1800.82; 6; 0; 1; 0;  1275224.00; 0.02; 4
Sc6-17; 1; 0; 1408485.00; 1800.76; 4; 0; 1; 0;  1773949.00; 0.00; 4
Sc6-18; 1; 1; 1102621.00; 518.39; 5; 0; 0; 0;  1094299.00; 0.01; 4
Sc6-19; 1; 0; 1556433.00; 1800.80; 5; 0; 1; 0;  1399487.00; 0.01; 4
Sc6-20; 1; 1; 1439883.00; 218.89; 5; 0; 0; 0;  1660322.00; 0.01; 4
